Commit id,CyclomaticComplexity,ExcessiveClassLength,ExcessiveMethodLength,ExcessiveParameterList,NPathComplexity,CouplingBetweenObjects,EmptyCatchBlock,DepthOfInheritance,GotoStatement
1,0,1,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0,0
4,0,1,0,0,0,0,0,0,0
5,0,1,0,0,0,0,0,0,0
6,0,1,0,0,0,0,0,0,0
7,0,1,0,0,0,0,0,0,0
8,0,1,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0
10,0,1,0,0,0,0,0,0,0
11,0,1,0,0,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0
13,0,1,0,0,0,0,0,0,0
14,0,1,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0
16,0,1,0,0,0,0,0,0,0
17,0,1,0,0,0,0,0,0,0
18,0,1,0,0,0,0,0,0,0
19,0,1,0,0,0,0,0,0,0
20,0,1,0,0,0,0,0,0,0
21,0,1,0,0,0,0,0,0,0
22,0,1,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0
25,0,1,0,0,0,0,0,0,0
26,0,1,0,0,0,0,0,0,0
27,0,1,0,0,0,0,0,0,0
28,0,1,0,0,0,0,0,0,0
29,0,1,0,0,0,0,0,0,0
30,0,1,0,0,0,0,0,0,0
31,0,1,0,0,0,0,0,0,0
32,1,1,0,0,1,0,0,0,0
33,1,1,0,0,1,0,0,0,0
34,1,1,0,0,1,0,0,0,0
35,1,1,0,0,1,0,0,0,0
36,1,1,0,0,1,0,0,0,0
37,1,1,0,0,1,0,0,0,0
38,1,1,0,0,1,0,0,0,0
39,1,1,0,0,1,0,0,0,0
40,1,1,0,0,1,0,0,0,0
41,1,1,0,0,1,0,0,0,0
42,1,1,0,0,1,0,0,0,0
43,1,1,0,0,1,0,0,0,0
44,1,1,0,0,1,0,0,0,0
45,1,1,0,0,1,0,0,0,0
46,1,1,0,0,1,0,0,0,0
47,1,1,0,0,1,0,0,0,0
48,0,1,0,0,0,0,0,0,0
49,1,1,0,0,1,0,0,0,0
50,1,1,0,0,1,0,0,0,0
51,1,1,0,0,1,0,0,0,0
52,1,1,0,0,1,0,0,0,0
53,1,1,0,0,1,0,0,0,0
54,1,1,0,0,1,0,0,0,0
55,1,1,0,0,1,0,0,0,0
56,1,1,0,0,1,0,0,0,0
57,1,1,0,0,1,0,0,0,0
58,1,1,0,0,1,0,0,0,0
59,1,1,0,0,1,0,0,0,0
60,1,1,0,0,1,0,0,0,0
61,1,1,0,0,1,0,0,0,0
62,1,1,0,0,1,0,0,0,0
63,1,1,0,0,1,0,0,0,0
64,1,1,0,0,1,0,0,0,0
65,1,1,0,0,1,0,0,0,0
66,0,1,0,0,0,0,0,0,0
67,2,1,0,0,1,0,0,0,0
68,1,1,0,0,1,1,0,0,0
69,1,1,0,0,1,1,0,0,0
70,1,1,0,0,1,1,0,0,0
71,1,1,0,0,1,1,0,0,0
72,1,1,0,0,1,1,0,0,0
73,1,1,0,0,1,1,0,0,0
74,1,1,0,0,1,1,0,0,0
75,1,1,0,0,1,1,0,0,0
76,0,1,0,0,0,0,0,0,0
77,1,1,0,0,1,1,0,0,0
78,1,1,0,0,1,1,0,0,0
79,1,1,0,0,1,1,0,0,0
80,1,1,0,0,1,1,0,0,0
81,1,1,0,0,1,1,0,0,0
82,1,1,0,0,1,1,0,0,0
83,1,1,0,0,1,0,0,0,0
84,1,1,0,0,1,1,0,0,0
85,1,1,0,0,1,1,0,0,0
86,1,1,0,0,1,1,0,0,0
87,1,1,0,0,1,1,0,0,0
88,1,1,0,0,1,1,0,0,0
89,1,1,0,0,1,1,0,0,0
90,1,1,0,0,1,1,0,0,0
91,1,1,0,0,1,1,0,0,0
92,0,1,0,0,0,0,0,0,0
93,0,1,0,0,0,0,0,0,0
94,0,1,0,0,0,0,0,0,0
95,1,1,0,0,1,1,0,0,0
96,1,1,0,0,1,1,0,0,0
97,1,1,0,0,1,1,0,0,0
98,0,1,0,0,0,0,0,0,0
99,1,1,0,0,1,1,0,0,0
100,1,1,0,0,1,1,0,0,0
101,1,1,0,0,1,1,0,0,0
102,1,1,0,0,1,1,0,0,0
103,1,1,0,0,1,1,0,0,0
104,1,1,0,0,1,1,0,0,0
105,1,1,0,0,1,1,0,0,0
106,1,1,0,0,1,1,0,0,0
