Project name,Smell,Created,Deleted
Project name,Smell,Created,Deleted
phpunit,0,480,297
phpunit,1,342,309
phpunit,2,536,453
phpunit,3,33,19
phpunit,4,204,83
phpunit,5,650,589
phpunit,6,230,204
phpunit,7,0,0
phpunit,8,0,0
laravel,0,41,20
laravel,1,219,214
laravel,2,85,81
laravel,3,0,0
laravel,4,29,14
laravel,5,463,460
laravel,6,118,116
laravel,7,0,0
laravel,8,0,0
matomo,0,2043,1449
matomo,1,343,315
matomo,2,1497,1302
matomo,3,353,309
matomo,4,1228,846
matomo,5,1838,1721
matomo,6,1174,1117
matomo,7,0,0
matomo,8,0,0
Project name,Smell,Created,Deleted
moodley,0,10699,6260
moodley,1,606,328
moodley,2,4102,2465
moodley,3,222,93
moodley,4,5651,2874
moodley,5,614,324
moodley,6,299,206
moodley,7,1,1
moodley,8,0,0
Project name,Smell,Created,Deleted
matomo,0,2045,1445
matomo,1,130,100
matomo,2,689,503
matomo,3,144,101
matomo,4,1224,838
matomo,5,302,195
matomo,6,218,180
matomo,7,0,0
matomo,8,0,0
