Commit id,CyclomaticComplexity,ExcessiveClassLength,ExcessiveMethodLength,ExcessiveParameterList,NPathComplexity,CouplingBetweenObjects,EmptyCatchBlock,DepthOfInheritance,GotoStatement
Commit id,CyclomaticComplexity,ExcessiveClassLength,ExcessiveMethodLength,ExcessiveParameterList,NPathComplexity,CouplingBetweenObjects,EmptyCatchBlock,DepthOfInheritance,GotoStatement
0,250,12,49,1,141,9,1,0,0
1,263,12,52,1,141,9,1,0,0
2,350,16,78,3,193,10,1,0,0
3,350,16,77,3,193,12,1,0,0
4,350,16,77,3,193,12,1,0,0
5,351,16,78,3,194,12,1,0,0
6,352,16,78,3,195,12,1,0,0
7,354,16,80,3,198,13,1,0,0
8,367,18,82,5,206,15,4,0,0
9,371,18,84,5,207,15,4,0,0
10,373,18,86,6,207,16,4,0,0
11,376,19,88,4,208,17,7,0,0
12,373,18,86,4,206,16,4,0,0
13,375,18,87,4,207,16,4,0,0
14,380,18,89,4,211,17,4,0,0
15,375,18,87,4,207,16,4,0,0
16,377,18,90,4,209,16,4,0,0
17,418,19,91,4,222,16,4,0,0
18,419,19,92,4,223,16,4,0,0
19,424,20,94,4,226,16,4,0,0
20,493,26,121,4,271,26,14,0,0
21,496,26,121,4,273,26,14,0,0
22,498,25,122,4,275,27,14,0,0
23,492,25,121,4,270,26,14,0,0
24,496,27,123,4,272,28,14,0,0
25,496,27,123,4,272,29,14,0,0
26,498,27,125,4,272,28,14,0,0
27,499,27,125,4,273,28,14,0,0
28,497,27,125,4,271,28,14,0,0
29,499,27,125,4,272,28,14,0,0
30,508,27,130,4,280,28,14,0,0
31,512,27,131,4,282,28,14,0,0
32,518,27,135,5,286,28,14,0,0
33,521,27,135,5,285,28,15,0,0
34,495,26,131,5,275,28,15,0,0
35,490,26,129,5,271,27,15,0,0
36,491,26,125,4,272,27,15,0,0
37,488,26,125,4,270,27,15,0,0
38,491,26,125,4,270,27,15,0,0
39,491,26,125,4,270,27,15,0,0
40,493,26,124,4,272,27,15,0,0
41,489,26,123,4,270,27,15,0,0
42,489,26,123,4,270,27,15,0,0
43,491,26,122,4,271,27,15,0,0
44,490,26,124,4,271,27,15,0,0
45,490,26,125,4,271,27,15,0,0
46,490,26,125,4,271,27,15,0,0
47,489,26,125,4,269,26,15,0,0
48,491,26,125,4,270,26,15,0,0
49,491,26,124,4,270,26,15,0,0
50,489,26,122,4,268,25,15,0,0
51,487,26,121,4,267,25,15,0,0
52,491,28,122,4,266,26,15,0,0
53,493,28,122,4,267,26,15,0,0
54,429,25,111,4,230,24,15,0,0
55,431,25,112,4,231,24,15,0,0
56,431,25,112,4,231,24,15,0,0
57,430,24,110,4,230,23,12,0,0
58,430,24,110,4,230,23,12,0,0
59,433,24,111,4,233,23,12,0,0
60,431,24,110,4,231,23,12,0,0
61,446,25,111,4,240,24,12,0,0
62,446,25,111,4,240,24,12,0,0
63,446,25,111,4,242,24,12,0,0
64,432,23,106,4,234,24,12,0,0
65,431,23,106,4,233,24,12,0,0
66,433,23,106,4,234,24,12,0,0
67,432,23,106,4,234,25,12,0,0
68,432,23,106,4,234,25,12,0,0
69,434,23,106,4,234,25,12,0,0
70,435,23,106,4,235,25,12,0,0
71,435,23,106,4,235,25,12,0,0
72,435,23,106,4,235,25,12,0,0
73,436,23,106,4,235,25,13,0,0
74,436,23,106,4,235,25,13,0,0
75,432,23,104,4,232,24,13,0,0
76,433,23,104,4,233,25,13,0,0
77,431,23,103,4,231,25,13,0,0
78,430,23,103,4,230,25,13,0,0
79,429,23,102,4,229,25,13,0,0
80,430,23,102,4,230,25,13,0,0
81,429,23,102,4,230,25,13,0,0
82,428,23,102,4,229,24,13,0,0
83,429,23,103,4,229,25,13,0,0
84,429,23,103,4,229,25,13,0,0
85,429,23,103,4,229,25,13,0,0
86,430,23,104,4,230,25,13,0,0
87,431,23,104,4,230,25,13,0,0
88,431,23,105,4,231,25,13,0,0
89,431,23,105,4,231,25,13,0,0
90,431,23,104,4,231,25,13,0,0
91,430,23,104,4,231,24,13,0,0
92,435,23,108,4,232,24,13,0,0
93,435,23,107,4,232,24,13,0,0
94,437,23,107,4,233,25,13,0,0
95,437,23,107,4,233,26,13,0,0
96,445,23,110,4,237,26,14,0,0
97,443,23,108,4,236,25,13,0,0
98,444,23,108,4,237,26,13,0,0
99,442,23,107,4,236,26,13,0,0
100,443,23,107,4,237,26,13,0,0
101,443,23,107,4,237,26,13,0,0
102,441,23,106,4,235,26,13,0,0
103,441,23,106,4,235,27,13,0,0
104,439,23,106,4,233,27,13,0,0
105,439,23,106,4,233,27,13,0,0
106,440,23,105,4,232,27,14,0,0
107,444,23,108,4,235,27,14,0,0
108,442,23,106,4,233,27,14,0,0
109,442,23,106,4,233,27,14,0,0
110,436,23,105,4,227,27,14,0,0
111,437,23,105,4,227,27,14,0,0
112,437,23,105,4,227,28,14,0,0
113,437,23,105,4,227,28,14,0,0
114,437,23,105,4,227,28,14,0,0
115,437,23,106,4,227,28,14,0,0
116,436,23,105,4,226,27,14,0,0
117,436,23,105,4,226,28,14,0,0
118,434,23,104,4,225,28,14,0,0
119,433,23,104,4,225,28,14,0,0
120,433,23,104,4,225,28,14,0,0
121,434,24,104,4,227,28,14,0,0
122,434,24,104,4,227,28,14,0,0
123,434,24,104,4,227,27,14,0,0
124,435,24,104,4,227,27,14,0,0
125,429,24,104,4,227,24,13,0,0
126,430,24,105,5,227,27,13,0,0
127,431,24,105,5,228,27,13,0,0
128,430,24,105,5,228,27,13,0,0
129,429,24,104,5,228,27,13,0,0
130,429,24,104,5,228,27,13,0,0
131,428,24,105,5,228,27,13,0,0
132,428,24,105,5,228,28,13,0,0
133,428,24,105,5,228,28,13,0,0
134,428,25,105,5,228,28,13,0,0
135,429,25,105,5,229,28,13,0,0
136,430,25,105,5,229,28,13,0,0
137,430,25,105,5,229,28,13,0,0
138,430,25,106,5,229,28,13,0,0
139,427,25,106,5,227,28,13,0,0
140,427,25,107,5,227,28,13,0,0
141,430,24,109,5,230,27,14,0,0
142,430,24,109,5,230,27,14,0,0
143,431,24,109,5,230,27,14,0,0
