Time,Died,Group
390,0,1
355,0,1
228,1,1
228,1,1
228,1,1
228,1,1
228,1,1
228,1,1
228,1,1
228,1,1
228,1,1
228,1,1
228,1,1
228,1,1
228,1,1
215,1,1
215,1,1
215,1,1
215,1,1
215,1,1
215,1,1
215,1,1
184,0,1
156,0,1
156,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
421,0,2
215,1,2
215,1,2
2,1,2
184,0,2
156,0,2
131,0,2
131,0,2
184,0,3
184,0,3
156,0,3
156,0,3
390,0,5
228,1,5
228,1,5
228,1,5
228,1,5
228,1,5
228,1,5
228,1,5
228,1,5
215,1,5
215,1,5
215,1,5
215,1,5
215,1,5
215,1,5
156,0,5
156,0,5
131,0,5
131,0,5
131,0,5
131,0,5
131,0,5
131,0,5
131,0,5
131,0,5
131,0,5
131,0,5
131,0,5
131,0,5
354,0,6
309,0,6
228,1,6
228,1,6
131,0,6
131,0,6
34,0,6
228,1,7
215,1,7
131,0,7
131,0,7
