Time,Died,Group
43,1,1
2214,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
2366,1,1
19146,1,1
19146,1,1
19146,1,1
19146,1,1
16908,1,1
8081,1,1
1735,1,1
8081,1,1
8081,1,1
8081,1,1
7022,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
8081,1,1
71,1,1
71,1,1
71,1,1
71,1,1
1354,1,1
9798,1,1
9798,1,1
9798,1,1
9798,1,1
25831,1,1
25831,1,1
25831,1,1
24477,1,1
25831,1,1
24477,1,1
25831,1,1
24477,1,1
24477,1,1
24477,1,1
25831,1,1
25831,1,1
25831,1,1
24477,1,1
24477,1,1
25974,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
71,1,1
3269,0,1
1915,0,1
1915,0,1
1915,0,1
1354,1,1
0,0,1
0,0,1
0,0,1
94,1,1
94,1,1
94,1,1
4126,0,1
4126,0,1
4126,0,1
2772,0,1
2772,0,1
736,0,1
9887,1,1
9887,1,1
9887,1,1
