Time,Died,Group
2,1,1
2,1,1
101,1,1
101,1,1
32,1,1
46,1,1
20,1,1
21,1,1
54,1,1
55,1,1
52,1,1
18,1,1
23,0,1
21,0,1
2,0,1
2,1,1
2,1,1
272,1,1
272,1,1
272,1,1
272,1,1
272,1,1
976,0,1
976,0,1
976,0,1
976,0,1
976,0,1
90,1,1
1077,1,1
84,1,1
937,1,1
77,1,1
64,1,1
156,1,1
836,0,1
684,0,1
83,1,1
86,1,1
279,1,1
874,0,1
608,0,1
567,0,1
506,0,1
396,0,1
269,0,1
160,1,1
761,1,1
10,1,1
21,1,1
12,1,1
45,1,1
121,1,1
121,1,1
160,1,1
160,1,1
128,1,1
128,1,1
208,1,1
257,1,1
586,1,1
599,1,1
354,1,1
619,0,1
346,0,1
327,0,1
301,0,1
276,0,1
0,0,1
160,1,1
160,1,1
192,1,1
1011,1,1
682,1,1
1,1,1
139,1,1
279,1,1
101,1,1
177,1,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
117,1,1
229,1,1
227,1,1
229,1,1
232,1,1
191,1,1
226,1,1
229,1,1
154,1,1
246,1,1
186,1,1
850,1,1
937,1,1
642,1,1
521,1,1
521,1,1
635,1,1
154,1,1
154,1,1
474,1,1
163,1,1
729,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
205,1,1
421,1,1
575,1,1
575,1,1
421,1,1
421,1,1
154,1,1
385,1,1
385,1,1
231,1,1
714,1,1
714,1,1
87,1,1
46,1,1
173,1,1
197,1,1
212,1,1
222,1,1
246,1,1
148,1,1
154,1,1
0,0,1
0,0,1
0,0,1
36,1,1
42,1,1
113,1,1
386,1,1
461,1,1
378,1,1
383,1,1
18,1,1
44,1,1
162,1,1
211,1,1
397,1,1
506,1,1
965,1,1
466,1,1
55,1,1
55,1,1
83,1,1
83,1,1
654,1,1
654,1,1
401,1,1
386,1,1
2006,0,1
401,1,1
2780,1,1
142,1,1
183,1,1
205,1,1
215,1,1
220,1,1
205,1,1
231,1,1
167,1,1
165,1,1
638,1,1
534,1,1
734,1,1
776,1,1
779,1,1
394,1,1
416,1,1
659,1,1
492,1,1
455,1,1
455,1,1
2212,0,1
2195,0,1
2181,0,1
2176,0,1
2173,0,1
386,1,1
386,1,1
117,1,1
916,0,1
916,0,1
916,0,1
703,1,1
703,1,1
703,1,1
703,1,1
703,1,1
2200,1,1
2371,1,1
2651,1,1
2758,0,1
2758,0,1
755,0,1
700,0,1
401,1,1
2623,1,1
171,0,1
89,1,1
149,1,1
168,1,1
111,1,1
418,1,1
252,1,1
259,1,1
1093,1,1
3028,1,1
260,1,1
483,1,1
210,1,1
147,1,1
307,1,1
1225,1,1
396,1,1
396,1,1
1412,0,1
1412,0,1
478,1,1
478,1,1
478,1,1
478,1,1
478,1,1
478,1,1
1039,1,1
1496,1,1
1651,1,1
2930,1,1
2930,1,1
2930,1,1
1887,1,1
1847,1,1
1646,1,1
386,1,1
386,1,1
2720,1,1
224,1,1
28,1,1
49,1,1
53,1,1
365,1,1
394,0,1
71,1,1
168,1,1
168,1,1
252,1,1
291,1,1
244,1,1
207,1,1
181,1,1
181,1,1
28,1,1
54,1,1
102,1,1
490,1,1
269,1,1
649,1,1
647,1,1
854,1,1
770,1,1
779,1,1
432,1,1
1109,1,1
1300,1,1
951,1,1
1296,1,1
826,1,1
809,1,1
700,1,1
700,1,1
682,1,1
1015,0,1
1015,0,1
1015,0,1
1015,0,1
386,1,1
2717,0,1
870,0,1
189,0,1
388,1,1
388,1,1
388,1,1
388,1,1
23,1,1
23,1,1
319,1,1
319,1,1
833,1,1
833,1,1
18,1,1
27,1,1
41,1,1
46,1,1
121,1,1
116,1,1
112,1,1
101,1,1
2845,1,1
2845,1,1
3110,1,1
3125,1,1
3086,1,1
491,0,1
424,0,1
88,0,1
86,1,1
380,1,1
380,1,1
3766,1,1
3766,1,1
1,1,1
0,0,1
75,1,1
0,0,1
662,1,1
1481,1,1
9,1,1
96,1,1
94,1,1
1432,0,1
0,0,1
2080,0,1
83,1,1
0,0,1
0,0,1
83,0,1
83,0,1
0,0,1
0,0,1
1836,0,1
0,0,1
0,0,1
0,0,1
1,1,1
1213,0,1
0,0,1
0,0,1
5,1,1
3,1,1
609,1,1
1013,1,1
0,0,1
86,1,1
2,1,1
3,1,1
23,1,1
109,1,1
0,0,1
2,1,1
10,1,1
11,1,1
11,1,1
11,1,1
11,1,1
6,1,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
10,1,2
127,1,2
160,1,2
844,0,2
214,1,2
873,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
1175,1,2
21,1,2
638,1,2
76,1,2
547,1,2
76,1,2
1259,1,2
21,1,2
638,1,2
76,1,2
112,1,2
374,1,2
374,1,2
150,1,2
447,1,2
227,1,2
324,1,2
383,1,2
553,1,2
186,1,2
715,1,2
2329,0,2
391,1,2
579,1,2
56,1,2
49,1,2
69,1,2
128,1,2
267,1,2
225,1,2
272,1,2
261,1,2
305,1,2
286,1,2
389,1,2
21,1,2
435,1,2
625,1,2
584,1,2
847,1,2
1280,0,2
386,1,2
582,1,2
59,1,2
62,1,2
114,1,2
123,1,2
108,1,2
26,1,2
109,1,2
55,1,2
1,1,2
14,1,2
14,1,2
14,1,2
14,1,2
51,1,2
542,1,2
112,1,2
522,1,2
87,1,2
300,1,2
2391,1,2
7,1,2
23,1,2
53,1,2
76,1,2
542,1,2
150,1,2
314,1,2
65,1,2
27,1,2
245,1,2
203,1,2
727,1,2
92,1,2
131,1,2
303,1,2
31,1,2
499,1,2
236,1,2
2099,1,2
15,1,2
586,1,2
120,1,2
302,1,2
127,1,2
292,1,2
123,1,2
1954,1,2
636,1,2
119,1,2
2644,1,2
2547,1,2
147,1,2
9,1,2
44,1,2
22,1,2
87,0,2
0,0,2
1819,0,2
0,0,2
398,1,2
530,1,2
615,0,2
0,0,2
0,0,2
2,1,2
5,1,2
0,0,2
2,1,3
101,1,3
243,0,3
272,1,3
272,1,3
708,1,3
945,1,3
150,1,3
90,1,3
1077,1,3
751,0,3
689,1,3
72,1,3
97,1,3
97,1,3
10,1,3
481,1,3
269,0,3
184,0,3
214,1,3
214,1,3
128,1,3
297,1,3
144,1,3
1,1,3
1,1,3
9,1,3
33,1,3
6,1,3
327,0,3
276,0,3
157,1,3
8,1,3
486,1,3
0,0,3
0,0,3
229,1,3
232,1,3
191,1,3
226,1,3
850,1,3
838,0,3
154,1,3
474,1,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
575,1,3
421,1,3
714,1,3
714,1,3
3,1,3
3,1,3
511,1,3
20,1,3
20,1,3
13,1,3
87,1,3
87,1,3
125,1,3
125,1,3
189,1,3
189,1,3
21,1,3
21,1,3
638,1,3
638,1,3
547,1,3
547,1,3
76,1,3
76,1,3
1039,1,3
21,1,3
638,1,3
112,1,3
374,1,3
150,1,3
458,1,3
8,1,3
113,1,3
200,1,3
126,1,3
205,1,3
1,1,3
436,1,3
222,1,3
17,1,3
17,1,3
66,1,3
66,1,3
318,1,3
318,1,3
318,1,3
324,1,3
324,1,3
324,1,3
36,1,3
8,1,3
9,1,3
391,1,3
391,1,3
534,1,3
264,1,3
415,1,3
358,1,3
243,1,3
409,1,3
419,1,3
19,1,3
8,1,3
402,1,3
369,1,3
380,1,3
528,1,3
378,1,3
591,1,3
386,1,3
916,0,3
703,1,3
2200,1,3
368,1,3
593,1,3
197,1,3
151,1,3
529,1,3
225,1,3
232,1,3
44,1,3
202,1,3
286,1,3
343,1,3
292,1,3
1340,1,3
1288,1,3
898,0,3
396,1,3
396,1,3
1412,0,3
1412,0,3
478,1,3
478,1,3
1733,1,3
2930,1,3
74,0,3
97,0,3
386,1,3
1276,1,3
23,1,3
254,1,3
1208,1,3
1079,0,3
388,1,3
388,1,3
23,1,3
23,1,3
312,1,3
312,1,3
588,1,3
588,1,3
146,1,3
3900,1,3
3983,1,3
773,0,3
14,0,3
0,0,3
662,1,3
662,1,3
28,1,3
147,1,3
162,1,3
300,1,3
1432,0,3
0,0,3
59,1,3
152,0,3
152,0,3
0,0,3
0,0,3
0,0,3
0,0,3
2,1,3
2,1,3
0,0,3
0,0,3
522,1,3
548,1,3
47,1,3
219,1,3
196,1,3
1163,0,3
0,0,3
50,1,3
705,1,3
0,0,3
361,1,3
566,0,3
0,0,3
0,0,3
0,0,3
0,0,3
11,1,3
11,1,3
0,0,3
0,0,3
0,0,3
0,0,3
10,1,4
2,0,4
2,0,4
112,1,4
9,1,4
45,1,4
42,1,4
72,1,4
33,1,4
214,1,4
458,1,4
193,1,4
258,1,4
267,1,4
304,1,4
388,1,4
388,1,4
415,1,4
425,1,4
425,1,4
578,1,4
451,1,4
4,1,4
16,1,4
151,1,4
119,1,4
2845,1,4
3971,0,4
152,0,4
152,0,4
1013,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
2,1,5
2,1,5
101,1,5
101,1,5
32,1,5
46,1,5
20,1,5
14,1,5
121,0,5
72,0,5
2,1,5
2,1,5
272,1,5
272,1,5
272,1,5
272,1,5
169,1,5
976,0,5
976,0,5
976,0,5
90,1,5
1077,1,5
84,1,5
945,0,5
733,1,5
85,0,5
83,1,5
279,1,5
155,1,5
138,1,5
121,1,5
121,1,5
160,1,5
74,1,5
208,1,5
208,1,5
203,1,5
372,1,5
167,1,5
32,1,5
44,1,5
237,1,5
215,1,5
202,1,5
54,1,5
62,1,5
69,1,5
13,1,5
0,0,5
160,1,5
62,1,5
5,1,5
141,1,5
0,0,5
0,0,5
0,0,5
191,1,5
226,1,5
186,1,5
850,1,5
850,1,5
838,0,5
838,0,5
121,1,5
154,1,5
474,1,5
154,1,5
132,1,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
205,1,5
421,1,5
575,1,5
421,1,5
154,1,5
714,1,5
714,1,5
154,1,5
0,0,5
36,1,5
1,1,5
4,1,5
8,1,5
142,1,5
183,1,5
205,1,5
391,1,5
279,1,5
231,1,5
69,1,5
95,1,5
160,1,5
103,1,5
84,1,5
43,1,5
5,1,5
2599,0,5
2516,0,5
2355,0,5
2151,0,5
386,1,5
916,0,5
703,1,5
703,1,5
703,1,5
590,1,5
2200,1,5
2758,0,5
2758,0,5
2758,0,5
504,0,5
401,1,5
2623,1,5
151,0,5
529,1,5
529,1,5
164,1,5
205,1,5
956,1,5
2519,0,5
1833,0,5
1827,0,5
143,1,5
45,1,5
13,1,5
142,1,5
1225,1,5
396,1,5
396,1,5
1412,0,5
1412,0,5
478,1,5
478,1,5
478,1,5
2930,1,5
2930,1,5
2930,1,5
386,1,5
1283,1,5
34,1,5
47,1,5
26,1,5
157,1,5
27,1,5
310,1,5
389,1,5
279,1,5
357,1,5
414,1,5
1094,1,5
1598,1,5
253,1,5
248,1,5
636,1,5
386,1,5
2717,0,5
819,0,5
189,0,5
388,1,5
388,1,5
268,1,5
23,1,5
23,1,5
319,1,5
312,1,5
833,1,5
588,1,5
152,1,5
152,1,5
96,1,5
2845,1,5
2845,1,5
3971,0,5
3843,0,5
86,1,5
14,0,5
380,1,5
380,1,5
3766,1,5
3766,1,5
0,0,5
0,0,5
662,1,5
2356,0,5
0,0,5
575,1,5
144,1,5
590,0,5
152,0,5
152,0,5
152,0,5
152,0,5
0,0,5
83,0,5
83,0,5
0,0,5
