Time,Died,Group
1,1,1
1,1,1
10,1,1
10,1,1
9,1,1
13,1,1
5,1,1
17,1,1
21,1,1
19,1,1
19,1,1
13,1,1
10,0,1
8,0,1
1,0,1
1,1,1
1,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
51,0,1
51,0,1
51,0,1
51,0,1
51,0,1
3,1,1
21,1,1
3,1,1
57,1,1
8,1,1
3,1,1
3,1,1
46,0,1
36,0,1
11,1,1
12,1,1
20,1,1
63,0,1
48,0,1
42,0,1
37,0,1
23,0,1
11,0,1
3,1,1
52,1,1
11,1,1
4,1,1
11,1,1
12,1,1
5,1,1
5,1,1
7,1,1
7,1,1
20,1,1
20,1,1
17,1,1
27,1,1
74,1,1
76,1,1
55,1,1
84,0,1
38,0,1
36,0,1
34,0,1
32,0,1
0,0,1
2,1,1
2,1,1
3,1,1
40,1,1
38,1,1
3,1,1
6,1,1
12,1,1
3,1,1
9,1,1
16,1,1
16,1,1
11,1,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
2,1,1
2,1,1
3,1,1
2,1,1
3,1,1
2,1,1
5,1,1
2,1,1
2,1,1
3,1,1
2,1,1
72,1,1
87,1,1
17,1,1
16,1,1
16,1,1
21,1,1
1,1,1
2,1,1
7,1,1
2,1,1
15,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
2,1,1
7,1,1
7,1,1
7,1,1
6,1,1
6,1,1
2,1,1
3,1,1
3,1,1
2,1,1
29,1,1
16,1,1
16,1,1
5,1,1
4,1,1
1,1,1
7,1,1
5,1,1
6,1,1
5,1,1
3,1,1
2,1,1
0,0,1
0,0,1
0,0,1
3,1,1
4,1,1
15,1,1
7,1,1
7,1,1
19,1,1
21,1,1
1,1,1
2,1,1
10,1,1
9,1,1
12,1,1
54,1,1
17,1,1
2,1,1
9,1,1
9,1,1
4,1,1
4,1,1
13,1,1
13,1,1
6,1,1
10,1,1
34,0,1
5,1,1
36,1,1
14,1,1
22,1,1
31,1,1
33,1,1
36,1,1
30,1,1
32,1,1
26,1,1
24,1,1
113,1,1
97,1,1
129,1,1
133,1,1
135,1,1
47,1,1
26,1,1
23,1,1
33,1,1
31,1,1
31,1,1
233,0,1
219,0,1
214,0,1
207,0,1
205,0,1
21,1,1
21,1,1
4,1,1
80,0,1
80,0,1
80,0,1
48,1,1
48,1,1
48,1,1
48,1,1
48,1,1
133,1,1
155,1,1
160,1,1
165,0,1
165,0,1
11,0,1
7,0,1
5,1,1
31,1,1
5,0,1
11,1,1
18,1,1
20,1,1
18,1,1
51,1,1
41,1,1
39,1,1
110,1,1
218,1,1
14,1,1
27,1,1
14,1,1
11,1,1
8,1,1
44,1,1
79,1,1
39,1,1
39,1,1
145,0,1
145,0,1
41,1,1
41,1,1
41,1,1
41,1,1
41,1,1
41,1,1
65,1,1
98,1,1
107,1,1
148,1,1
148,1,1
148,1,1
85,1,1
82,1,1
42,1,1
8,1,1
8,1,1
34,1,1
12,1,1
2,1,1
6,1,1
7,1,1
8,1,1
11,0,1
13,1,1
22,1,1
22,1,1
22,1,1
21,1,1
23,1,1
18,1,1
14,1,1
14,1,1
9,1,1
6,1,1
7,1,1
33,1,1
51,1,1
58,1,1
70,1,1
91,1,1
72,1,1
82,1,1
74,1,1
66,1,1
68,1,1
34,1,1
31,1,1
31,1,1
44,1,1
36,1,1
36,1,1
23,1,1
11,0,1
11,0,1
11,0,1
11,0,1
9,1,1
67,0,1
31,0,1
3,0,1
15,1,1
15,1,1
15,1,1
15,1,1
2,1,1
2,1,1
12,1,1
12,1,1
14,1,1
14,1,1
7,1,1
18,1,1
26,1,1
27,1,1
56,1,1
52,1,1
48,1,1
42,1,1
69,1,1
69,1,1
91,1,1
94,1,1
60,1,1
18,0,1
15,0,1
3,0,1
6,1,1
19,1,1
19,1,1
23,1,1
23,1,1
1,1,1
3,1,1
1,1,1
0,0,1
24,1,1
69,1,1
15,1,1
9,1,1
9,1,1
40,0,1
0,0,1
35,0,1
21,1,1
0,0,1
0,0,1
14,0,1
14,0,1
0,0,1
0,0,1
20,0,1
0,0,1
0,0,1
0,0,1
1,1,1
20,0,1
0,0,1
0,0,1
4,1,1
3,1,1
8,1,1
18,1,1
0,0,1
4,1,1
2,1,1
3,1,1
5,1,1
8,1,1
0,0,1
2,1,1
7,1,1
8,1,1
8,1,1
8,1,1
8,1,1
5,1,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
9,1,2
2,1,2
3,1,2
73,0,2
21,1,2
116,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
95,1,2
40,1,2
4,1,2
21,1,2
26,1,2
53,1,2
7,1,2
106,0,2
58,1,2
108,1,2
17,1,2
8,1,2
7,1,2
8,1,2
4,1,2
5,1,2
3,1,2
3,1,2
3,1,2
13,1,2
3,1,2
5,1,2
13,1,2
27,1,2
6,1,2
55,1,2
122,0,2
21,1,2
56,1,2
12,1,2
6,1,2
7,1,2
7,1,2
2,1,2
11,1,2
10,1,2
2,1,2
1,1,2
2,1,2
2,1,2
2,1,2
2,1,2
1,1,2
35,1,2
13,1,2
7,1,2
10,1,2
6,1,2
129,1,2
1,1,2
3,1,2
3,1,2
4,1,2
54,1,2
10,1,2
10,1,2
4,1,2
4,1,2
6,1,2
21,1,2
14,1,2
1,1,2
1,1,2
13,1,2
2,1,2
3,1,2
3,1,2
97,1,2
9,1,2
36,1,2
6,1,2
5,1,2
5,1,2
5,1,2
16,1,2
82,1,2
2,1,2
54,1,2
53,1,2
17,1,2
19,1,2
3,1,2
7,1,2
7,1,2
25,0,2
0,0,2
52,0,2
0,0,2
2,1,2
2,1,2
9,0,2
0,0,2
0,0,2
2,1,2
4,1,2
0,0,2
1,1,3
10,1,3
61,0,3
15,1,3
15,1,3
39,1,3
