Time,Died,Group
70,0,1
63,0,1
37,1,1
37,1,1
37,1,1
37,1,1
37,1,1
37,1,1
37,1,1
37,1,1
37,1,1
37,1,1
37,1,1
37,1,1
37,1,1
36,1,1
36,1,1
36,1,1
36,1,1
36,1,1
36,1,1
36,1,1
31,0,1
29,0,1
29,0,1
28,0,1
28,0,1
28,0,1
28,0,1
28,0,1
28,0,1
28,0,1
28,0,1
28,0,1
28,0,1
28,0,1
28,0,1
28,0,1
28,0,1
28,0,1
28,0,1
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
1,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
1,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
1,1,2
0,1,2
1,1,2
0,1,2
1,1,2
0,1,2
0,1,2
0,1,2
1,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
1,1,2
1,1,2
0,1,2
1,1,2
3,1,2
0,1,2
1,1,2
0,1,2
1,1,2
0,1,2
0,1,2
1,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
1,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
2,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
1,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
1,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
1,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
1,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
1,1,2
0,1,2
0,1,2
1,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
1,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
1,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
1,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
1,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
36,1,2
36,1,2
0,1,2
0,1,2
31,0,2
29,0,2
28,0,2
28,0,2
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
1,1,3
1,1,3
1,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
1,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
0,1,3
1,1,3
1,1,3
5,1,3
5,1,3
4,1,3
3,1,3
2,1,3
2,1,3
2,1,3
1,1,3
0,1,3
3,1,3
3,1,3
4,1,3
3,1,3
2,1,3
1,1,3
