Time,Died,Group
390,0,1
355,0,1
228,1,1
228,1,1
228,1,1
228,1,1
228,1,1
228,1,1
228,1,1
228,1,1
228,1,1
228,1,1
228,1,1
228,1,1
228,1,1
215,1,1
215,1,1
215,1,1
215,1,1
215,1,1
215,1,1
215,1,1
184,0,1
156,0,1
156,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
131,0,1
421,0,2
215,1,2
215,1,2
2,1,2
184,0,2
156,0,2
131,0,2
131,0,2
184,0,3
184,0,3
156,0,3
156,0,3
390,0,5
228,1,5
228,1,5
228,1,5
228,1,5
228,1,5
228,1,5
228,1,5
228,1,5
215,1,5
215,1,5
215,1,5
215,1,5
215,1,5
215,1,5
156,0,5
156,0,5
131,0,5
131,0,5
131,0,5
131,0,5
131,0,5
131,0,5
131,0,5
131,0,5
131,0,5
131,0,5
131,0,5
131,0,5
354,0,6
309,0,6
228,1,6
228,1,6
131,0,6
131,0,6
34,0,6
228,1,7
215,1,7
131,0,7
131,0,7
0,0,1
125,1,1
4,1,1
4,1,1
108,1,1
462,1,1
0,0,1
0,0,1
19,1,1
0,0,1
451,0,1
1391,1,1
0,0,1
8468,1,1
15392,1,1
15392,1,1
24394,1,1
709,1,1
709,1,1
1098,1,1
1098,1,1
1098,1,1
378,1,1
378,1,1
1098,1,1
247,1,1
247,1,1
355,1,1
483,1,1
619,1,1
620,1,1
460,1,1
641,1,1
556,1,1
618,1,1
599,1,1
1097,1,1
1115,1,1
1466,1,1
1857,1,1
1838,1,1
1425,1,1
1314,1,1
1266,1,1
1265,1,1
1087,1,1
868,1,1
851,1,1
721,1,1
1079,1,1
1108,1,1
1485,1,1
1119,1,1
3773,1,1
3701,1,1
3599,1,1
3398,1,1
3387,1,1
3241,1,1
678,1,1
3837,1,1
6889,1,1
6925,1,1
8785,1,1
10576,1,1
8868,1,1
8295,1,1
7487,1,1
7739,1,1
24255,1,1
24257,1,1
23872,1,1
25269,1,1
27542,1,1
27523,0,1
26830,0,1
26600,0,1
26207,0,1
25051,0,1
24945,0,1
24724,0,1
22220,0,1
21583,0,1
20745,0,1
20285,0,1
17938,0,1
13166,0,1
8920,0,1
6241,0,1
5502,0,1
4773,0,1
3788,0,1
2768,0,1
2510,0,1
2389,0,1
1853,0,1
1613,0,1
1525,0,1
1141,0,1
1063,1,1
1063,1,1
1063,1,1
1063,1,1
1063,1,1
1063,1,1
1063,1,1
1063,1,1
1063,1,1
1012,1,1
866,1,1
866,1,1
413,1,1
339,1,1
235,1,1
3688,1,1
3152,1,1
2764,1,1
3943,1,1
6709,1,1
12624,1,1
20729,1,1
30307,1,1
26349,1,1
26349,1,1
25641,1,1
12879,1,1
12720,1,1
12720,1,1
12720,1,1
12601,1,1
9630,1,1
9452,1,1
8786,1,1
7997,1,1
7963,1,1
5804,0,1
3308,0,1
3308,0,1
3308,0,1
3308,0,1
3308,0,1
3308,0,1
3308,0,1
3308,0,1
3308,0,1
3308,0,1
3308,0,1
3308,0,1
3308,0,1
3308,0,1
3308,0,1
1130,1,1
848,1,1
16061,1,1
32136,0,1
16559,0,1
1150,1,1
6804,1,1
6804,1,1
4587,1,1
4418,1,1
24582,1,1
933,1,1
937,1,1
659,1,1
865,1,1
5212,1,1
5182,1,1
4750,1,1
4743,1,1
4441,1,1
4161,1,1
4105,1,1
3286,1,1
1838,1,1
1741,1,1
2520,1,1
2748,1,1
2749,1,1
2758,1,1
2771,1,1
1696,0,1
1696,0,1
1696,0,1
1696,0,1
572,1,1
1290,1,1
1290,1,1
1677,1,1
2733,1,1
1584,1,1
1521,1,1
1159,1,1
979,1,1
780,1,1
1199,1,1
1222,1,1
2602,1,1
4900,1,1
4758,1,1
4625,1,1
4406,1,1
4145,1,1
4142,1,1
3945,1,1
3928,1,1
3838,1,1
3284,1,1
3264,1,1
2875,1,1
2429,1,1
2076,1,1
2832,0,1
2832,0,1
2333,0,1
983,1,1
2646,1,1
1002,1,1
1514,1,1
489,1,1
5586,1,1
5586,1,1
6102,1,1
6102,1,1
6102,1,1
6102,1,1
29126,1,1
29126,1,1
27691,1,1
27691,1,1
27691,1,1
27691,1,1
8103,1,1
217,1,1
129,1,1
129,1,1
22,1,1
8,1,1
8,1,1
8,1,1
631,1,1
631,1,1
631,1,1
2516,1,1
5185,1,1
5185,1,1
2670,1,1
2120,1,1
8170,1,1
7023,1,1
6943,1,1
6943,1,1
6943,1,1
6943,1,1
6943,1,1
6943,1,1
4881,1,1
246,1,1
989,1,1
486,1,1
764,1,1
2128,1,1
2062,1,1
1670,1,1
4875,1,1
5249,1,1
4229,1,1
4229,1,1
2183,1,1
1672,1,1
1871,1,1
4063,1,1
6676,1,1
6724,1,1
