Time,Died,Group
16,1,1
17,1,1
9,1,1
15,1,1
3,1,1
27,1,1
32,1,1
1,1,1
22,1,1
135,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
90,1,1
90,1,1
90,1,1
90,1,1
90,1,1
90,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
5,1,1
5,1,1
5,1,1
5,1,1
5,1,1
5,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
6,1,1
6,1,1
90,1,1
90,1,1
2,1,1
2,1,1
1,1,1
1,1,1
5,1,1
5,1,1
2,1,1
2,1,1
1,1,1
1,1,1
1,1,1
1,1,1
2,1,1
2,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
6,1,1
90,1,1
2,1,1
1,1,1
5,1,1
2,1,1
1,1,1
1,1,1
2,1,1
1,1,1
1,1,1
1,1,1
8,1,1
1,1,1
2,1,1
1,1,1
1,1,1
2,1,1
3,1,1
9,1,1
8,1,1
8,1,1
1,1,1
1,1,1
2,1,1
2,1,1
1,1,1
1,1,1
1,1,1
1,1,1
2,1,1
2,1,1
3,1,1
3,1,1
9,1,1
9,1,1
8,1,1
1,1,1
2,1,1
1,1,1
1,1,1
2,1,1
3,1,1
9,1,1
8,1,1
8,1,1
1,1,1
1,1,1
2,1,1
2,1,1
1,1,1
1,1,1
1,1,1
1,1,1
2,1,1
2,1,1
3,1,1
3,1,1
9,1,1
9,1,1
8,1,1
1,1,1
2,1,1
1,1,1
1,1,1
2,1,1
3,1,1
9,1,1
4,1,1
4,1,1
17,1,1
1,1,1
1,1,1
6,1,1
6,1,1
6,1,1
18,1,1
18,1,1
18,1,1
2,1,1
2,1,1
2,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
14,1,1
14,1,1
14,1,1
5,1,1
5,1,1
5,1,1
7,1,1
7,1,1
7,1,1
6,1,1
6,1,1
6,1,1
10,1,1
10,1,1
10,1,1
16,1,1
16,1,1
16,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
14,1,1
14,1,1
14,1,1
14,1,1
14,1,1
14,1,1
5,1,1
5,1,1
5,1,1
5,1,1
5,1,1
5,1,1
7,1,1
7,1,1
7,1,1
7,1,1
7,1,1
