Time,Died,Group
21,1,1
442,1,1
366,1,1
14993,1,1
32425,1,1
18623,1,1
95,1,1
95,1,1
95,1,1
95,1,1
31580,1,1
31580,1,1
31580,1,1
31580,1,1
31580,1,1
31580,1,1
31580,1,1
31580,1,1
31580,1,1
31580,1,1
31580,1,1
29778,1,1
107,1,1
370,1,1
1518,1,1
1344,1,1
1273,1,1
1182,1,1
5276,1,1
7564,1,1
10392,1,1
14247,1,1
16079,1,1
15928,1,1
17967,1,1
17030,1,1
16608,1,1
15617,1,1
15035,1,1
16570,1,1
16155,1,1
16025,1,1
16064,1,1
16704,1,1
16554,1,1
16094,1,1
18104,1,1
18072,1,1
22316,1,1
21752,1,1
21834,1,1
21109,1,1
22613,1,1
22332,1,1
23357,1,1
27360,1,1
27230,1,1
27212,1,1
26363,1,1
25709,1,1
25080,1,1
25304,1,1
25854,1,1
25144,1,1
25720,1,1
26373,1,1
28593,1,1
27542,1,1
28024,1,1
27636,1,1
26964,1,1
27161,1,1
23179,1,1
23001,1,1
22945,1,1
22120,1,1
22040,1,1
22009,1,1
19938,1,1
19575,1,1
19333,1,1
19264,1,1
19164,1,1
18172,1,1
17542,1,1
15315,1,1
15224,1,1
14746,1,1
14616,1,1
14389,1,1
17447,1,1
16595,1,1
16914,1,1
16596,1,1
15039,1,1
12759,1,1
12760,1,1
12740,1,1
12739,1,1
12739,1,1
12697,1,1
12741,1,1
12741,1,1
12478,1,1
12364,1,1
11729,1,1
11782,1,1
10973,1,1
10906,1,1
7669,1,1
7428,1,1
6640,1,1
6919,1,1
6449,1,1
5896,1,1
6047,1,1
5942,1,1
5901,1,1
10105,1,1
10105,1,1
10340,1,1
12041,1,1
12288,1,1
12953,1,1
12953,1,1
16199,1,1
17941,1,1
23358,1,1
385,1,1
4556,1,1
3967,1,1
20,1,1
20,1,1
2886,1,1
2414,1,1
42,1,1
3051,1,1
4646,1,1
592,1,1
11640,0,1
11504,0,1
3500,0,1
592,1,1
0,0,1
0,0,1
592,1,1
592,1,1
